stt,tuvung,cachdoc,nghia,capdo,giaotrinh
162,売れる,うれる,bán chạy,N2,耳から覚えるN2
163,売り切れる,うりきれる,bán sạch,N2,耳から覚えるN2
164,くっ付く,くっつく,gắn vào,N2,耳から覚えるN2
165,くっ付ける,くっつける,dính vào,N2,耳から覚えるN2
166,固まる,かたまる,cứng lại,N2,耳から覚えるN2
167,固める,かためる,làm cứng,N2,耳から覚えるN2
168,縮む,ちぢむ,"ngắn lại, co lại",N2,耳から覚えるN2
169,縮まる,ちぢまる,làm ngắn,N2,耳から覚えるN2
170,縮める,ちぢめる,làm ngắn,N2,耳から覚えるN2
171,沈む,しずむ,"chìm, lặn, bị nhấn xuống",N2,耳から覚えるN2
172,沈める,しずめる,"chìm, lặn",N2,耳から覚えるN2
173,下がる,さがる,rơi,N2,耳から覚えるN2
174,下げる,さげる,"giảm bớt, hạ",N2,耳から覚えるN2
175,転がる,ころがる,(tự) lăn,N2,耳から覚えるN2
176,転がす,ころがす,"lăn(vật gì đó, lăn quả bóng)",N2,耳から覚えるN2
177,傾く,かたむく,nghiêng,N2,耳から覚えるN2
178,傾ける,かたむける,"Nghiêng vào, hướng vào",N2,耳から覚えるN2
179,裏返す,うらがえす,"Lật úp, lộn (trái qua phải, trên xuống dưới)",N2,耳から覚えるN2
180,散らかる,ちらかる,"Lung tung, vương vãi",N2,耳から覚えるN2
181,散らかす,ちらかす,Vứt bừa bãi,N2,耳から覚えるN2
182,散らばる,ちらばる,văng tứ tung ,N2,耳から覚えるN2
183,刻む,きざむ,"cắt nhỏ, chạm khắc",N2,耳から覚えるN2
184,挟まる,はさまる,bị kẹp,N2,耳から覚えるN2
185,挟む,はさむ,kẹp,N2,耳から覚えるN2
186,潰れる,つぶれる,"bị hỏng, bị nghiền",N2,耳から覚えるN2
187,潰す,つぶす,"làm hỏng, giết(thời gian)",N2,耳から覚えるN2
188,凹む,へこむ,lõm,N2,耳から覚えるN2
189,解ける,ほどける,"mở, cởi ra",N2,耳から覚えるN2
190,解く,ほどく,cởi,N2,耳から覚えるN2
191,枯れる,かれる,"bị héo, bị tàn",N2,耳から覚えるN2
192,枯らす,からす,héo,N2,耳から覚えるN2
193,傷む,いたむ,bị hỏng,N2,耳から覚えるN2
194,湿る,しめる,bị ẩm,N2,耳から覚えるN2
195,凍る,こおる,đông cứng,N2,耳から覚えるN2
196,震える,ふるえる,run rẩy,N2,耳から覚えるN2
197,輝く,かがやく,sáng,N2,耳から覚えるN2
198,溢れる,あふれる,"tràn, đầy",N2,耳から覚えるN2
199,余る,あまる,Dư thừa,N2,耳から覚えるN2
200,目立つ,めだつ,nổi bật,N2,耳から覚えるN2
201,地味,じみ,đơn giản ,N2,耳から覚えるN2
202,見下ろす,みおろす,nhìn xuống,N2,耳から覚えるN2
203,戦う/闘う,たたかう,"đánh nhau, tranh chấp",N2,耳から覚えるN2
204,敗れる,やぶれる,bị đánh bại,N2,耳から覚えるN2
205,逃げる,にげる,chạy trốn,N2,耳から覚えるN2
206,逃がす,にがす,"Để mất; để tuột mất (tuột mất một cơ hội ),  Thả (thả con mèo ra)",N2,耳から覚えるN2
207,戻る,もどる,quay lại,N2,耳から覚えるN2
208,戻す,もどす,để trả lại,N2,耳から覚えるN2
209,嵌まる,はまる,"khớp, bị kẹt",N2,耳から覚えるN2
210,嵌める,はめる,làm chặt lại,N2,耳から覚えるN2
211,扱う,あつかう,"đối xử, xử lý",N2,耳から覚えるN2
212,関わる,かかわる,liên quan,N2,耳から覚えるN2
213,目指す,めざす,hướng tới mục tiêu (ý nghĩa tích cực),N2,耳から覚えるN2
214,立つ・発つ,たつ,"khởi hành, rời khỏi",N2,耳から覚えるN2
215,迎える,むかえる,đón,N2,耳から覚えるN2
216,持てる,もてる,"Thu hút, có duyên",N2,耳から覚えるN2
217,例える,たとえる,"ví như, so với",N2,耳から覚えるN2
218,努める,つとめる,"nỗ lực, cố gắng",N2,耳から覚えるN2
219,務まる,つとまる,được đảm nhiệm,N2,耳から覚えるN2
220,務める,つとめる,"phục vụ, làm",N2,耳から覚えるN2
221,取り消す,とりけす,hủy,N2,耳から覚えるN2
222,終える,おえる,kết thúc,N2,耳から覚えるN2
223,呼びかける,よぶかける,gọi,N2,耳から覚えるN2
224,呼び出す,よぶだす,"triệu hồi, triệu tập",N2,耳から覚えるN2
225,有難い,ありがたい,cảm ơn,N2,耳から覚えるN2
226,申し訳ない,もうしわけない,xin lỗi,N2,耳から覚えるN2
227,目出度い,めでたい,"vui, hạnh phúc",N2,耳から覚えるN2
228,幸いな,さいわいな,hạnh phúc,N2,耳から覚えるN2
229,恋しい,こいしい,"nhớ (thiên về tình cảm, muốn gặp, muốn làm liền bây giờ)",N2,耳から覚えるN2
230,懐かしい,なつかしい,"hoài niệm, nhớ về quá khứ đã qua",N2,耳から覚えるN2
231,幼い,おさない,"non nớt, bé bỏng",N2,耳から覚えるN2
232,心細い,こころぼそい,"cô đơn, mất đi niềm tin, hy vọng",N2,耳から覚えるN2
233,かわいそうな,かわいそうな,tội nghiệp,N2,耳から覚えるN2
234,気の毒な,きのどくな,"đáng tiếc, đáng thương",N2,耳から覚えるN2
235,貧しい,まずしい,nghèo,N2,耳から覚えるN2
236,惜しい,おしい,"đáng tiếc, thường dùng để nói về việc thiếu chút nữa là thành công",N2,耳から覚えるN2
237,残念,ざんねん,"đáng tiếc (kết quả xấu, đáng tiếc)",N2,耳から覚えるN2
238,悔しい,くやしい,"đáng tiếc (tâm trạng hối tiếc, hối hận)",N2,耳から覚えるN2
239,仕方（が）ない,しかた（が）ない,"vô phương (chọn cái này, chỉ còn cách này thôi)",N2,耳から覚えるN2
240,やむを得ない,やむをえない,không tránh khỏi (mang tính ép buộc cao hơn),N2,耳から覚えるN2
241,面倒くさい,めんどうくさい,phiền toái,N2,耳から覚えるN2
242,しつこい,しつこい,"lằng nhằng, nói hoài,  (thái độ bực mình)",N2,耳から覚えるN2
243,諄い ,くどい,"dài dòng, lắm lời (nhẹ hơn しつこい)",N2,耳から覚えるN2
244,煙い,けむい,nhiều khói,N2,耳から覚えるN2
245,邪魔な,じゃまな,vướng víu,N2,耳から覚えるN2
246,うるさい,うるさい,"ồn ào, om sòm",N2,耳から覚えるN2
247,騒々しい,そうぞうしい,"ồn ào, sôi nổi (thường thể hiện khung cảnh ồn ào)",N2,耳から覚えるN2
248,慌ただしい,あわただしい,bận rộn (nhiều thứ linh tinh phải xử lý  ,N2,耳から覚えるN2
249,忙しい,いそがしい,Diễn tả mức độ bận rộn của 1 việc đã biết ,N2,耳から覚えるN2
250,そそっかしい,そそっかしい,hấp tấp (tính cách),N2,耳から覚えるN2
251,慌てる,あわてる,luống cuống (hành động),N2,耳から覚えるN2
252,焦る,あせる,"nóng ruột, nôn nóng (tâm trạng)",N2,耳から覚えるN2
253,思いがけない,おもいがけない,không ngờ đến,N2,耳から覚えるN2
254,何気ない,なにげない,"ngẫu nhiên, tình cờ, không cố ý",N2,耳から覚えるN2
255,とんでもない,とんでもない,"không thể tin được, không có chuyện đó đâu",N2,耳から覚えるN2
256,くだらない,くだらない,"vô giá trị, vô nghĩa",N2,耳から覚えるN2
257,ばかばかしい,ばかばかしい,"vớ vẩn, ngu ngốc",N2,耳から覚えるN2
258,だらしない,だらしない,không gọn gàng (tính cách),N2,耳から覚えるN2
259,ずうずうしい,ずうずうしい,"vô liêm sỉ, trơ trẽn",N2,耳から覚えるN2
260,小賢しい,こざかしい,"tinh ranh, khôn lỏi những thứ nhỏ nhặt",N2,耳から覚えるN2
261,狡い,ずるい,"ranh mãnh, chỉ tính có lợi cho bản thân",N2,耳から覚えるN2
262,卑怯,ひきょう,"chơi xấu, chơi hèn",N2,耳から覚えるN2
263,最低,さいてい,"tồi nhất, tệ nhất (mức độ xấu nhất)",N2,耳から覚えるN2
264,憎らしい,にくらしい,thấy ghét ghét (ganh tị),N2,耳から覚えるN2
265,憎い,にくい,"căm ghét đến mức muốn giết
(mức độ 嫌う→恨む→憎む)",N2,耳から覚えるN2
266,険しい,けわしい,"dốc, nghiêm khắc",N2,耳から覚えるN2
267,辛い,つらい,đau đớn,N2,耳から覚えるN2
268,辛い,からい,cay,N2,耳から覚えるN2
269,きつい,,"chật, gay go, khó khăn",N2,耳から覚えるN2
270,緩い,ゆるい,"lỏng, chậm",N2,耳から覚えるN2
271,鈍い,にぶい,"cùn, đần độn, kém",N2,耳から覚えるN2
272,鋭い,するどい,"sắc, sắc sảo",N2,耳から覚えるN2
273,荒い・粗い,あらい,"bạo lực, khốc liệt",N2,耳から覚えるN2
274,強引な,ごういんな,"cưỡng bức, bắt buộc",N2,耳から覚えるN2
275,勝手な,かってな,"tự ý, tự tiện",N2,耳から覚えるN2
276,強気な,つよきな,"kiên định, vững vàng",N2,耳から覚えるN2
277,頑固な,がんこな,"bảo thủ, cố chấp",N2,耳から覚えるN2
278,過剰な,かじょうな,"vượt quá, thái quá",N2,耳から覚えるN2
279,重大な,じゅうたいな,trọng đại,N2,耳から覚えるN2
280,重要,じゅうよう,trọng yếu ,N2,耳から覚えるN2
281,主要,しゅよう,chủ yếu,N2,耳から覚えるN2
282,深刻な,しんこくな,nghiêm trọng,N2,耳から覚えるN2
283,気楽な,きらくな,"thoải mái, nhàn hạ",N2,耳から覚えるN2
284,安易な,あんいな,"dễ dàng, đơn giản (suy nghĩ)",N2,耳から覚えるN2
285,運,うん,"số, vận mệnh",N2,耳から覚えるN2
286,勘,かん,"trực giác, linh cảm, kiểu như giác quan thứ sáu",N2,耳から覚えるN2
287,勘違い,かんちがい,"sự hiểu lầm, phán đoán sai lầm",N2,耳から覚えるN2
288,感覚,かんかく,"cảm giác, giác quan (5 giác quan)",N2,耳から覚えるN2
289,神経,しんけい,"thần kinh, điều khiển giác quan",N2,耳から覚えるN2
290,記憶,きおく,"ký ức, trí nhớ (記憶力 khả năng ghi nhớ)",N2,耳から覚えるN2
291,様子,ようす,"trạng thái, tình trạng",N2,耳から覚えるN2
292,雰囲気,ふんいき,bầu không khí,N2,耳から覚えるN2
293,魅力,みりょく,"mị lực, sức hút, sức hấp dẫn",N2,耳から覚えるN2
294,機嫌,きげん,"tâm trạng, thần thái gần nghĩa với 気分",N2,耳から覚えるN2
295,調子,ちょうし,ｔình trạng ,N2,耳から覚えるN2
296,感心,かんしん,Khâm phục,N2,耳から覚えるN2
297,意欲,いよく,"ý dục, muốn",N2,耳から覚えるN2
298,全力,ぜんりょく,toàn lực,N2,耳から覚えるN2
299,本気,ほんき,"nghiêm chỉnh, chân thực, nghiêm túc, thật lòng",N2,耳から覚えるN2
300,意識,いしき,"nhận thức, ý thức nhận biết",N2,耳から覚えるN2
301,感激,かんげき,"cảm kích, xúc động",N2,耳から覚えるN2
302,同情,どうじょう,đồng cảm với khó khăn của người khác,N2,耳から覚えるN2
303,同意,どうい,đồng ý,N2,耳から覚えるN2
304,同感,どうかん,"đồng ý, cùng ý kiến",N2,耳から覚えるN2
305,対立,たいりつ,đối lập,N2,耳から覚えるN2
306,主張,しゅちょう,chủ trương,N2,耳から覚えるN2
307,要求,ようきゅう,yêu cầu,N2,耳から覚えるN2
308,得,とく,"lợi ích, lãi",N2,耳から覚えるN2
309,損,そん,"lỗ, tổn thất",N2,耳から覚えるN2
310,勝負,しょうぶ,"đánh cược, trận đấu ",N2,耳から覚えるN2
311,勢い,いきおい,"mạnh mẽ, tràn trề",N2,耳から覚えるN2
312,爆発,ばくはつ,nổ,N2,耳から覚えるN2
313,災害,さいがい,thảm họa,N2,耳から覚えるN2
314,天候,てんこう,thời tiết,N2,耳から覚えるN2
315,乾燥,かんそう,"sự khô khan, khô hạn",N2,耳から覚えるN2
316,観測,かんそく,"quan sát, dự đoán",N2,耳から覚えるN2
317,遭難,そうなん,gặp nạn ,N2,耳から覚えるN2
318,発生,はっせい,phát sinh,N2,耳から覚えるN2
319,登場,とうじょう,"lối vào, xuất hiện",N2,耳から覚えるN2
320,回復,かいふく,hồi phụcD2D2904:D2924,N2,耳から覚えるN2
321,援助,えんじょ,viện trợ,N2,耳から覚えるN2
322,保険,ほけん,bảo hiểm,N2,耳から覚えるN2
323,追加,ついか,thêm vào,N2,耳から覚えるN2
324,応用,おうよう,"ứng dụng, Áp dụng ",N2,耳から覚えるN2
325,解答,かいとう,"giải quyết vấn đề, nghi vấn",N2,耳から覚えるN2
326,回答,かいとう,"trả lời câu hỏi, sự truy hỏi",N2,耳から覚えるN2
327,結論,けつろん,kết luận,N2,耳から覚えるN2
328,案,あん,"kế hoạch, ý tưởng",N2,耳から覚えるN2
329,集中,しゅうちゅう,tập trung,N2,耳から覚えるN2
330,区別,くべつ,phân biệt,N2,耳から覚えるN2
331,差別,さべつ,khác biệt ,N2,耳から覚えるN2
332,中間,ちゅうかん,ở giữa,N2,耳から覚えるN2
333,逆,ぎゃく,ngược lại,N2,耳から覚えるN2
334,他所,よそ,nơi khác,N2,耳から覚えるN2
335,外,ほか,"người (khác), ngoài ra",N2,耳から覚えるN2
336,境,さかい,"biên giới, ngăn cách",N2,耳から覚えるN2
337,半ば,なかば,"một nửa, ở giữa (văn viết của 途中)",N2,耳から覚えるN2
338,普段,ふだん,bình thường,N2,耳から覚えるN2
339,日常,にちじょう,hàng ngày,N2,耳から覚えるN2
340,一般,いっぱん,"tổng quan, cái chung",N2,耳から覚えるN2
341,常識,じょうしき,"ý thức tuân thủ luật lệ, phép tắc thông thường",N2,耳から覚えるN2
342,ことわざ,ことわざ,thành ngữ,N2,耳から覚えるN2
343,権利,けんり,quyền lợi,N2,耳から覚えるN2
344,義務,ぎむ,nghĩa vụ,N2,耳から覚えるN2
345,切掛/切っ掛け,きっかけ,"cơ hội, khởi đầu",N2,耳から覚えるN2
346,行動,こうどう,hành động,N2,耳から覚えるN2
347,使用,しよう,sử dụng,N2,耳から覚えるN2
348,提出,ていしゅつ,"đề xuất, giao nộp",N2,耳から覚えるN2
349,期限,きげん,"giới hạn, kỳ hạn",N2,耳から覚えるN2
350,延期,えんき,trì hoãn,N2,耳から覚えるN2
351,延長,えんちょう,kéo dài,N2,耳から覚えるN2
352,短縮,たんしゅく,rút ngắn,N2,耳から覚えるN2
353,映像,えいぞう,"hình ảnh, phim ảnh trên tivi, điện thoại, camera ",N2,耳から覚えるN2
354,撮影,さつえい,chụp ảnh,N2,耳から覚えるN2
355,背景,はいけい,"bối cảnh, phông nền",N2,耳から覚えるN2
356,独立,どくりつ,độc lập,N2,耳から覚えるN2
357,候補,こうほ,"ứng cử, ứng cử viên",N2,耳から覚えるN2
358,支持,しじ,"chống đỡ, ủng hộ (支持者: người ủng hộ)",N2,耳から覚えるN2
359,投票,とうひょう,bầu cử,N2,耳から覚えるN2
360,当選,とうせん,"trúng cử, trúng giải",N2,耳から覚えるN2
361,抽選,ちゅうせん,rút thăm,N2,耳から覚えるN2
362,配布,はいふ,phân phát,N2,耳から覚えるN2
363,失格,しっかく,"mất tư cách, mất quyền",N2,耳から覚えるN2
364,余暇,よか,thời gian rỗi,N2,耳から覚えるN2
365,行事,ぎょうじ,sự kiện,N2,耳から覚えるN2
366,理想,りそう,lý tưởng,N2,耳から覚えるN2
367,現実,げんじつ,"hiện thực, thực tế",N2,耳から覚えるN2
368,体験,たいけん,trải nghiệm,N2,耳から覚えるN2
369,空想,くうそう,"không tưởng, kỳ diệu",N2,耳から覚えるN2
370,実物,じつぶつ,"thực chất, nguyên bản",N2,耳から覚えるN2
371,実現,じつげん,hiện thực,N2,耳から覚えるN2
372,実施,じっし,thực thi,N2,耳から覚えるN2
373,許可,きょか,sự cho phép,N2,耳から覚えるN2
374,全体,ぜんたい,toàn thể,N2,耳から覚えるN2
375,部分,ぶぶん,bộ phận,N2,耳から覚えるN2
376,統一,とういつ,thống nhất,N2,耳から覚えるN2
377,拡大,かくだい,"mở rộng, tăng lên",N2,耳から覚えるN2
378,縮小,しゅくしょう,"co nhỏ, nén lại",N2,耳から覚えるN2
379,集合,しゅうごう,tập hợp,N2,耳から覚えるN2
380,方向,ほうこう,phương hướng,N2,耳から覚えるN2
381,間隔,かんかく,"khoảng cách, khoảng giữa",N2,耳から覚えるN2
382,脇,わき,"phía bên, bên hông, bênh nách",N2,耳から覚えるN2
383,通過,つうか,thông qua,N2,耳から覚えるN2
384,移動,いどう,di chuyển,N2,耳から覚えるN2
385,停止,ていし,"dừng lại, tạm dừng",N2,耳から覚えるN2
386,低下,ていか,"rơi xuống, từ chối, suy giảm",N2,耳から覚えるN2
387,超過,ちょうか,"vượt quá đếm được (tiền, thời gian, bệnh)",N2,耳から覚えるN2
388,区別,くべつ,nhận biết sự khác nhau để phân biệt,N2,耳から覚えるN2
389,分別,ぶんべつ,chia ra theo chủng loại,N2,耳から覚えるN2
390,居眠り,いねむり,ngủ gật ,N2,耳から覚えるN2
391,面倒見る,めんどうみる,"trông nom (trẻ con, người già)",N2,耳から覚えるN2
392,介護,かいご,chăm sóc người bệnh,N2,耳から覚えるN2
393,看護,かんご,chăm sóc bệnh nhân,N2,耳から覚えるN2
394,修正,しゅうせい,"sửa chữa(văn bản, hình ảnh)",N2,耳から覚えるN2
