stt,kanji,hanviet,hiragana,mean,vidu,dichvidu
,ご馳走,trì tẩu,ごちそう,Chiêu đãi,昨日は先輩にご馳走になった。,Hôm qua tôi đã được tiền bối chiêu đãi
,作者,Tác giả,さくしゃ,Tác giả,（小説／詩／絵。。）の作者。,Tác giả của (tiểu thuyết/thơ/tranh..)
,作品,Tác phẩm,さくひん,Tác phẩm,学生の作品をロビーに展示する。,Trưng bày tác phẩm của học sinh ở sảnh
,展示,Triển kì,てんじ,Trưng bày,,
,制服,Chế phục,せいふく,Đồng phục,日本の中学生には制服のある学校が多い。,Nhiều trường trung học ở Nhật Bản có đồng phục
,食器,Thực khí,しょっき,Bát đĩa,洗剤で食器を洗う。,Rửa chén bát bằng nước rửa chén
,洗剤,Tẩy tễ,せんざい,Chất tẩy rửa xà bông bột bột làm bánh,,
,底,Để,そこ,Đáy,靴の底に穴があく。,Thủng lỗ ở đế giày
,進む,Tiến,すすむ,Tiến lên/triển/bộ,大都市は地下の開発が進んでいる。,Đô thị lớn đang phát triển tầng hầm dưới mặt đất
,開発,Khai phát,かいはつ,Phát triển,,
,都市,Đô thị,とし,Thành phố,,
,寺,Tự,てら,Chùa,寺に参ります。,Đi thăm đền thờ
,道路,Đạo lộ,どうろ,Con đường,日本では、車は道路の左側を走る。,"Ở Nhật, ô tô chạy phía bên trái con đường"
,坂,Phản,さか,Dốc,坂を登る。,Leo lên dốc
,煙,Yên,けむり,Khói,たばこの煙は体に悪い。,Khói thuốc lá có hại cho sức khoẻ
,逃げる,Đào,にげる,"Bỏ chạy, tẩu thoát",火事の時は煙に注意して逃げてくだない。,"Khi có hoả hoạn,hãy cẩn thận với khói và trốn thoát"
,火事,Hỏa sự,かじ,Hỏa hoạn,,
,灰,Hôi,はい,Tro tàn,紙が燃えて灰になる。,Giấy cháy thành tro
,判,Phán,はん,Con dấu,書類に判を押す。,Đóng dấu vào tài liệu
,名刺,Danh thích,めいし,Danh thiếp,パーティーで会った人に名刺を配った。,Tôi trao danh thiếp cho những người đã gặp ở bữa tiệc
,交換,Giao hoán,こうかん,Trao đổi,名刺を交換する。,Trao đổi danh thiếp
,免許,Miễn hứa,めんきょ,Giấy phép,レストランを開くには調理師の免許が必要だ。,Để mở nhà hàng cần có chứng chỉ đầu bếp
,必要（な）,Tất yếu,ひつよう,Cần thiết,,
,調理師,Điều lý sư,ちょうりし,Đầu bếp,,
,多く,Đa,おおく,Nhiều,オリンピックには多くの国が参加した。,Nhiều quốc gia đã tham gia Thế vận hội
,前半,Tiền bán,ぜんはん,Phần đầu,映画の前半はたいくつだったが、後半は面白かった。,Phần đầu phim chán lắm nhưng phần sau thì thú vị
,後半,Hậu bán,こうはん,Phần sau,,
,退屈,Thoái khuất,たいくつ,"Buồn tẻ, chán ngắt",,
,最高,Tối cao,さいこう,Cao nhất,この店は昨日、開店以来最高の売り上げを記録した。,Hôm qua cửa hàng đã đạt kỉ lục doanh thu cao nhất từ khi mở cửa hàng đến nay
,最低,Tối đê,さいてい,Thấp nhất,クラスで最低の点を取ってしまった。,Tôi bị điểm thấp nhất lớp
,最初,Tối sơ,さいしょ,Đầu tiên,最初にひらがなを、次にカタカナを勉強した。,Đầu tiên tôi học hiragana và sau đó học katakana
,最後,Tối hậu,さいご,Cuối cùng,最後の出勤日に花束をもらった。,Tôi đã nhận được một bó hoa vào ngày làm việc cuối cùng
,花束,Hoa thúc,はなたば,Bó hoa,,
,自動,Tự động,じどう,Tự động,このドアは自動だから、手で開けなくてもいい。,Cửa này là tự động nên không cần phải mở bằng tay
,種類,Chủng loại,しゅるい,Chủng loại,公園にはいろいろな種類の花がある。,Trong công viên có rất nhiều loại hoa
,性格,Tính cách,せいかく,Tính cách tâm trạng trạng thái tính tình,あの人は性格がいいので、みんなに好かれている。,Người ấy có tính cách tốt nên được mọi người yêu quý
,性質,Tính chất,せいしつ,Tính chất,人は持って生まれた性質をなかなか変えられない。,Con người khó mà thay đổi bản chất có được từ khi mới sinh ra
,布,Bố,ぬの,Vải vải bố vải vóc,この布は燃えにくい性質を持っている。,Vải này có tính chất chống cháy
,順番,Thuận phiên,じゅんばん,Thứ tự,発表の順番を決める。,Quyết định thứ tự thuyết trình
,発表,Phát biểu,はっぴょう,Phát biểu,,
,商品,Thương phẩm,しょうひん,Phần thưởng hàng sản phẩm,大きい商品から順番に並べる。,Xếp lần lượt theo thứ tự từ những hàng hoá lớn đến bé
,番,Phiên,ばん,Lượt,次は私の番です。,Tiếp theo đến lượt của tôi
,方法,Phương pháp,ほうほう,Phương pháp,いい方法を探す。,Tìm kiếm phương pháp hiệu quả
,検査,Kiểm tra,ちょうさ,Kiểm tra,完成した製品を検査する。,Kiểm tra sản phẩm đã hoàn thành
,完成,Hoàn thành,かんせい,Hoàn thành,,
,製品,Chế phẩm,せいひん,"Sản phẩm, thành phẩm",,
,値上がり,Trị thượng,ねあがり,sự Tăng giá giá tăng,石油が値上がりする。,Giá dầu tăng
,生,Sinh,なま,"Tươi, mới (chưa chế biến)",肉を生で食べる。,Ăn thịt sống
,渇く,Khát,かわく,Khát,のどが渇いた。,Khát nước
,嗅ぐ,Khứu,かぐ,Ngửi,匂いを嗅ぐ。,Ngửi thấy mùi
,叩く,Khấu,たたく,"Vỗ, đánh, gõ",隣の人の肩を叩く。,Vỗ vai người bên cạnh
,お尻,Khào,おしり,Mông,子供のお尻を叩く。,Đánh vào mông đứa trẻ
,殴る,Ẩu,なぐる,Đánh,教師が生徒を殴って、問題になっている。,Đang có vấn đề bởi giáo viên đánh học sinh
,蹴る,Xúc,ける,Đá,ボールを蹴る。,Đá bóng
,抱く,Bão,だく,Ôm,恋人の肩を抱く。,Ôm lấy bờ vai của người yêu
,両手,Lưỡng thủ,りょうて,Hai tay,子供を両手でしっかりと抱く。,Bế đứa bé bằng 2 tay một cách cẩn thận
,台風,Đài phong,たいふう,Bão,台風で木が倒れた。,Do bão nên cây đổ
,倒れる,Đảo,たおれる,Bị gãy/đổ/rơi,父は働きすぎて倒れてしまった。,Vì bố tôi làm việc quá nhiều nên đã ngã bệnh
,倒す,Đảo,たおす,"Chặt đổ, quật ngã",花びんを倒して割ってしまった。,Tôi làm đổ bình hoa và nó vỡ mất rồi
,起きる,Khởi,おきる,Thức dậy,父は毎晩遅くまで起きているようだ。,Hình như đêm nào bố cũng thức khuya
,起こす,Khởi,おこす,Đánh thức,うちの子は朝起こしてもなかなか起きない。,Bọn trẻ nhà tôi sáng có đánh thức chúng thì mãi cũng không dậy ngay
,尋ねる,Tầm,たずねる,"Hỏi, thăm hỏi thăm viếng",交番で警官に市役所までの道を尋ねた。,Tôi đã hỏi cảnh sát đường đến toà thị chính tại bốt cảnh sát
,呼ぶ,Hô,よぶ,Gọi,”名前を呼ばれたら、返事をして下さい”,Vui lòng trả lời khi được gọi tên
,叫ぶ,Khiếu,さけぶ,"Gào, hét, rú lên",大声で叫んだが、相手は気づかずに行ってしまった。,Dù đã gào thét lớn tiếng nhưng đối phương vẫn đi mất mà không hề biết gì
,黙る,Mặc,だまる,Im lặng,先生が質問したが、誰も答えないで黙っている。,Thầy giáo đã đặt câu hỏi nhưng tất cả mọi người đều im lặng không trả lời
,飼う,Tự,かう,Nuôi,何かペットを飼いたいと思っている。,Tôi muốn nuôi một con vật nào đó
,数える,Số,かぞえる,Đếm,”椅子がいくつあるか、数えてください”,"""Hãy đếm xem có bao nhiêu cái ghế"""
,数,Số,かず,Số,数を数える,Đếm số
,乾く,Can,かわく,Khô,風が強かったので、外に干した洗濯物はすぐに乾いた。,Gió mạnh nên đồ phơi ở ngoài nhanh khô
,乾かす,Can,かわかす,Làm khô,ドライヤーでぬれたか髪を乾かした。,Tôi sấy tóc ướt bằng máy sấy
,濡れる,Nhu,ぬれる,Ướt,,
,畳む,Điệp,たたむ,"Gấp, gập, xếp",傘を畳んでバッグに入れる。,Gập ô rồi cho vào túi
,畳,Điệp,じょう,Cái chiếu,,
,誘う,Dụ,さそう,"Mời , rủ",友達を誘って映画を見に行った。,Tôi đã rủ bạn đi xem phim
,奢る,Xa,おごる,"Chiêu đãi, khao",昨日は後輩に焼肉を奢った。,Hôm qua tôi đã khao đàn em một bữa thịt nướng
,預かる,Dự,あずかる,"Chăm sóc, trông nom",旅行に行く友達から犬を預かることになった。,Tôi sẽ chăm sóc chú chó từ người bạn đi du lịch
,預ける,Dự,あずける,"Giao cho, gửi",銀行にお金を預けると、利子がつく。,Gửi tiền vào ngân hàng sẽ sinh lãi
,決まる,Quyết,きまる,Bị quyết định,帰国の日が決まった。,Ngày về nước đã được quyết định
,決める,Quyết,きめる,Quyết định,”進学か就職か早く決めたほうがいいですよ。,"""Nên quyết định sớm học lên hay đi làm"""
,写る,Tả,うつる,Được chụp,このカメラは暗いところでもよく写る。,Chiếc máy ảnh này chụp tốt cả những nơi tối
,写す,Tả,うつす,Chụp lại,素晴らしい風景を写真に写した。,Đã chụp một bức hình về một cảnh quan tuyệt vời
,思い出す,Tư xuất,おもいだす,Nhớ nhung,毎年春になると、高校の入学式を思い出します。,"Mỗi năm khi mùa xuân đến,tôi lại hồi tưởng về buổi lễ nhập học THPT"
,教わる,Giáo,おそわる,Được dạy,この料理の作り方は母から教わりました。,Cách làm món ăn này tôi đã được mẹ dạy
,申し込む,Thân nhập,もうしこむ,Đăng kí,パーティーに参加を申し込む。,Đăng ký tham gia bữa tiệc
,断る,Đoạn,ことわる,Từ chối,頼まれた仕事を断った。,Tôi đã từ chối công việc được nhờ vả
,指輪,Chỉ luân,ゆびわ,Nhẫn,なくなったと思っていた指輪が、ソファーの下で見つかった。,Đã tìm thấy chiếc nhẫn cứ ngỡ đã mất ở dưới ghế sofa
,見つかる,Kiến,みつかる,Được tìm thấy,高校生の時、たばこを吸っていたら先生に見つかって怒られた。,"Hồi học THPT,đang hút thuốc thì bị giáo viên bắt gặp và nổi giận"
,見つける,Kiến,みつける,Tìm thấy,なくなったと思っていた指輪を、ソファーの下で見つかった。,Đã tìm ra chiếc nhẫn cứ ngỡ đã mất ở dưới ghế sofa
,捕まる,Bộ,つかまる,"Bị bắt, bị tóm",犯人が警察に捕まった。,Phạm nhân đã bị cảnh sát bắt giữ
,捕まえる,Bộ,つかまえる,Đi bắt,警察が泥棒を捕まえた。,Cảnh sát đã tóm lấy tên trộm
,乗る,Thừa,のる,Lên,毎朝、電車に乗って学校に通っている。,Sáng nào tôi cũng lên tàu điện đến trường
,乗せる,Thừa,のせる,"Cho lên, xếp lên",子供を車に乗せて、学校まで送って行った。,Cho bọn trẻ lên xe rồi đưa đến trường
,下りる/降りる,Hạ/ Giáng,おりる,Xuống,電車を降りる／　階段を下りる。,Xuống tàu điện/ Xuống cầu thang
,下ろす、降ろす,Hạ/ Giáng,おろす,Cho xuống,”あの銀行の前で降ろしてください”,"""Hãy cho tôi xuống trước ngân hàng kia"""
,直る,Trực,なおる,"Được sửa, sửa chữa",壊れたパソコンが直った。,Máy tính cá nhân bị hỏng đã được sửa
,直す,Trực,なおす,Sửa xong,壊れた時計を直す。,Sửa dồng hồ bị hỏng
,治る,Trị,なおる,Khôi phục,なかなか頭痛が治らない。,Mãi mà không khỏi đau đầu
,治す,Trị,なおす,Chữa trị,”よく休んで早くかぜを治してください”,"""HÃy nghỉ ngơi thư thái cho nhanh khỏi cảm nhé"""
,亡くなる,Vong,なくなる,Chết,社長が90歳で亡くなった。,Giám đốc đã mất vào năm 90 tuổi
,亡くす,Vong,なくす,Mất,彼は子供の時、父親を亡くした。,Anh ấy đã mất bố khi còn nhỏ
,父親,Phụ thân,ちちおや,Cha mẹ,,
,生まれる,Sinh,うまれる,Được sinh ra,先月子供が生まれた。,Đứa trẻ được sinh ra vào tháng trước
,産む,Sản,うむ,"Sinh, đẻ",にわとりが卵を産む。,Gà đẻ trứng
,先日,Tiên nhật,せんじつ,Mấy ngày trước,妻が先日元気な女の子を産んだ。,"Cách đây vài ngày,vợ tôi đã sinh ra một bé gái khoẻ mạnh"
,出会う,Xuất hội,であう,Gặp gỡ ngẫu nhiên,駅で偶然大学時代の友人に出会った。,"Ở nhà ga,tôi tình cờ gặp người bạn thời đại học"
,訪ねる,Phỏng,たずねる,"Thăm, ghé thăm",友人の家を訪ねた。,Đến thăm nhà bạn
,付き合う,Phó hợp,つきあう,Hẹn hò,隣の家の人と親しく付き合っている。,Giữ mối quan hệ thân thiết với nhà bên cạnh
,効く,Hiệu,きく,Hiệu quả,クーラーが効いていないのか、この部屋はとても暑い。,"Điều hoà chạy không hiệu quả sao ấy,phòng này nóng quá"
,頭痛,Đầu thống,ずつう,Đau đầu cơn đau đầu,この薬は頭痛によく効く。,Thuốc này rất hiệu quả cho người bị đau đầu
,流行する,Lưu hành,りゅうこうする,Lưu hành sự thịnh hành,この冬は赤い色が流行している。,Mùa đông này màu đỏ đang được thịnh hành
,経つ,Kinh,たつ,Trải qua đã qua trải qua,日本へ来たから10年が経った。,Đã đến Nhật được 10 năm rồi
,間に合う,Gian hợp,まにあう,Kịp giờ,電車に遅れたが、駅から走った、なんとか授業に間に合った。,"Xe điện đến muộn,nhưng mà chạy từ ga nên vừa kịp giờ học"
,間に合わせる,Gian hợp,まにあわせる,Đúng giờ,レポートを頑張って締め切りに間に合わせた。,Tôi đã cố gắng hoàn thành bản báo cáo đúng thời hạn
,通う,Thông,かよう,Đi đi về về qua lại,毎週ピアノのレッスンに通っている,"Hàng tuần,tôi dều đi học Piano"
,込む,Nhập,こむ,"Đông, tắc",（電車／店／道。。）が込む。,(Xe điện/ Cửa hàng/Đường..) đông đúc
,すれ違う,Vi,すれちがう,"Vượt qua, lướt qua không hiểu ý không đồng ý",この道は狭いので自動車がすれ違うのは大変だ。,Con đường này hẹp nên ô tô ngược hướng khó đi ngang qua nhau
,動く,Động,うごく,Bị chuyển động,”写真を撮るから動かないでください”,"""Tôi sẽ chụp ảnh nên đừng cử động"""
